Industry Name,Industry Sector,SIC Code
"Power transmission equipment, nec",Manufacturing,3568
"General industrial machinery, nec",Manufacturing,3569
Computer and Office Equipment,Manufacturing,357
Electronic computers,Manufacturing,3571
Computer storage devices,Manufacturing,3572
Computer terminals,Manufacturing,3575
"Computer peripheral equipment, nec",Manufacturing,3577
Calculating and accounting equipment,Manufacturing,3578
"Office machines, nec",Manufacturing,3579
Refrigeration and service machinery,Manufacturing,358
Automatic vending machines,Manufacturing,3581
Commercial laundry equipment,Manufacturing,3582
Refrigeration and heating equipment,Manufacturing,3585
Measuring and dispensing pumps,Manufacturing,3586
"Service industry machinery, nec",Manufacturing,3589
"Industrial machinery, nec",Manufacturing,359
"Carburetors, pistons, rings, valves",Manufacturing,3592
Fluid power cylinders & actuators,Manufacturing,3593
Fluid power pumps and motors,Manufacturing,3594
"Scales and balances, exc. laboratory",Manufacturing,3596
"Industrial machinery, nec",Manufacturing,3599
Electronic & other electroc equipment,Manufacturing,36
Electric distribution equipment,Manufacturing,361
"Transformers, except electronic",Manufacturing,3612
Switchgear and switchboard apparatus,Manufacturing,3613
Electrical industrial apparatus,Manufacturing,362
Motors and generators,Manufacturing,3621
Carbon and graphite products,Manufacturing,3624
Relays and industrial controls,Manufacturing,3625
"Electrical industrial apparatus, nec",Manufacturing,3629
Household appliances,Manufacturing,363
Household cooking equipment,Manufacturing,3631
Household refrigerators and freezers,Manufacturing,3632
Household laundry equipment,Manufacturing,3633
Electric housewares and fans,Manufacturing,3634
Household vacuum cleaners,Manufacturing,3635
"Household appliances, nec",Manufacturing,3639
Electric lighting and wiring equipment,Manufacturing,364
Electric lamps,Manufacturing,3641
Current-carrying wiring devices,Manufacturing,3643
Noncurrent-carrying wiring devices,Manufacturing,3644
Residential lighting fixtures,Manufacturing,3645
Commercial lighting fixtures,Manufacturing,3646
Vehicular lighting equipment,Manufacturing,3647
"Lighting equipment, nec",Manufacturing,3648
Household audio and video equipment,Manufacturing,365
Prerecorded records and tapes,Manufacturing,3652
Communications equipment,Manufacturing,366
Telephone and telegraph apparatus,Manufacturing,3661
Radio & TV communications equipment,Manufacturing,3663
"Communications equipment, nec",Manufacturing,3669
Electronic components and accessories,Manufacturing,367
Electron tubes,Manufacturing,3671
Printed circuit boards,Manufacturing,3672
Semiconductors and related devices,Manufacturing,3674
Electronic capacitors,Manufacturing,3675
Electronic resistors,Manufacturing,3676
Electronic coils and transformers,Manufacturing,3677
Electronic connectors,Manufacturing,3678
"Electronic components, nec",Manufacturing,3679
Misc. electrical equipment & supplies,Manufacturing,369
Storage batteries,Manufacturing,3691
"Primary batteries, dry and wet",Manufacturing,3692
Engine electrical equipment,Manufacturing,3694
Magnetic and optical recording media,Manufacturing,3695
"Electrical equipment & supplies, nec",Manufacturing,3699
