"County
Number","District
Number","School
Number","County
Name",District Name,School Name,Enrollment,Number tested,"Percent
tested","Average
score",Total scores above 21,Percent scores above 21,,,
07,61648,0730861,Contra Costa,Antioch Unified,Antioch High,527,52,9.9,    20.8,      24,     4.6,,,
07,61697,0737023,Contra Costa,John Swett Unified,Swett (John) High,125,1,0.8,NA,NA,NA,,,
07,61697,0737619,Contra Costa,John Swett Unified,Willow High,26,0,0,    0,       0,     0.0,,,
07,61721,0730457,Contra Costa,Liberty Union High,Freedom High,349,49,14,    20.6,      23,     6.6,,,
07,61721,0730572,Contra Costa,Liberty Union High,Independence High,211,0,0,    0,       0,     0.0,,,
07,61721,0733980,Contra Costa,Liberty Union High,Liberty High,443,71,16,    21.5,      38,     8.6,,,
07,61721,0733998,Contra Costa,Liberty Union High,La Paloma High (Cont.),86,0,0,    0,       0,     0.0,,,
07,61739,0730440,Contra Costa,Martinez Unified,Vicente Martinez High (Cont.),49,0,0,    0,       0,     0.0,,,
07,61739,0730473,Contra Costa,Martinez Unified,Briones (Alternative),35,0,0,    0,       0,     0.0,,,
07,61739,0730549,Contra Costa,Martinez Unified,Alhambra Senior High,238,32,13.4,    22.6,      22,     9.2,,,
07,61754,0730044,Contra Costa,Mt. Diablo Unified,Northgate High,344,119,34.6,    24.9,     104,    30.2,,,
07,61754,0730317,Contra Costa,Mt. Diablo Unified,Horizons Alternative,87,0,0,    0,       0,     0.0,,,
07,61754,0730333,Contra Costa,Mt. Diablo Unified,Gateway High (Cont.),9,0,0,    0,       0,     0.0,,,
07,61754,0730341,Contra Costa,Mt. Diablo Unified,Nueva Vista High (Cont.),19,0,0,    0,       0,     0.0,,,
07,61754,0730358,Contra Costa,Mt. Diablo Unified,Prospect High (Cont.),16,0,0,    0,       0,     0.0,,,
07,61754,0730416,Contra Costa,Mt. Diablo Unified,Crossroads High (Cont.),14,0,0,    0,       0,     0.0,,,
07,61754,0730424,Contra Costa,Mt. Diablo Unified,Summit High (Cont.),17,0,0,    0,       0,     0.0,,,
07,61754,0730655,Contra Costa,Mt. Diablo Unified,Diablo Day Community,5,0,0,    0,       0,     0.0,,,
07,61754,0731380,Contra Costa,Mt. Diablo Unified,Clayton Valley High,456,79,17.3,    22.7,      57,    12.5,,,
07,61754,0731646,Contra Costa,Mt. Diablo Unified,College Park High,397,97,24.4,    24.3,      77,    19.4,,,
07,61754,0731836,Contra Costa,Mt. Diablo Unified,Concord High,303,33,10.9,    21.7,      16,     5.3,,,
07,61754,0734566,Contra Costa,Mt. Diablo Unified,Mt. Diablo High,294,9,3.1,NA,NA,NA,,,
07,61754,0734764,Contra Costa,Mt. Diablo Unified,Olympic Continuation High,196,0,0,    0,       0,     0.0,,,
07,61754,0737809,Contra Costa,Mt. Diablo Unified,Ygnacio Valley High,382,51,13.4,    22.5,      33,     8.6,,,
07,61754,6104350,Contra Costa,Mt. Diablo Unified,Home and Hospital,9,0,0,    0,       0,     0.0,,,
07,61788,0730184,Contra Costa,Pittsburg Unified,Riverside High (Cont.),124,0,0,    0,       0,     0.0,,,
07,61788,0735407,Contra Costa,Pittsburg Unified,Pittsburg Senior High,429,26,6.1,    20.5,      11,     2.6,,,
07,61796,0730275,Contra Costa,West Contra Costa Unified,North Campus Continuation,23,0,0,    0,       0,     0.0,,,
07,61796,0730291,Contra Costa,West Contra Costa Unified,Middle College High,53,0,0,    0,       0,     0.0,,,
07,61796,0730325,Contra Costa,West Contra Costa Unified,Vista High (Alt),90,0,0,    0,       0,     0.0,,,
07,61796,0730366,Contra Costa,West Contra Costa Unified,Delta Continuation High,27,0,0,    0,       0,     0.0,,,
07,61796,0730374,Contra Costa,West Contra Costa Unified,Kappa Continuation High,10,0,0,    0,       0,     0.0,,,
07,61796,0730382,Contra Costa,West Contra Costa Unified,Omega Continuation High,42,0,0,    0,       0,     0.0,,,
07,61796,0730390,Contra Costa,West Contra Costa Unified,Sigma Continuation High,16,0,0,    0,       0,     0.0,,,
07,61796,0730523,Contra Costa,West Contra Costa Unified,Transition Learning Center,16,0,0,    0,       0,     0.0,,,
07,61796,0730580,Contra Costa,West Contra Costa Unified,Alternative Education Learning Center Charter,14,0,0,    0,       0,     0.0,,,
07,61796,0730598,Contra Costa,West Contra Costa Unified,Hercules High,190,0,0,    0,       0,     0.0,,,
07,61796,0732164,Contra Costa,West Contra Costa Unified,De Anza Senior High,280,32,11.4,    16.4,       5,     1.8,,,
07,61796,0732941,Contra Costa,West Contra Costa Unified,El Cerrito Senior High,282,41,14.5,    20.4,      18,     6.4,,,
07,61796,0733253,Contra Costa,West Contra Costa Unified,Gompers (Samuel) Continuation,15,0,0,    0,       0,     0.0,,,
07,61796,0733659,Contra Costa,West Contra Costa Unified,Kennedy High,171,9,5.3,NA,NA,NA,,,
07,61796,0735316,Contra Costa,West Contra Costa Unified,Pinole Valley High,365,24,6.6,    20.6,      10,     2.7,,,
07,61796,0735902,Contra Costa,West Contra Costa Unified,Richmond High,348,64,18.4,    14.9,       1,     0.3,,,
07,61796,6119518,Contra Costa,West Contra Costa Unified,Hercules Middle,0,3,0,NA,NA,NA,,,
07,61804,0730051,Contra Costa,San Ramon Valley Unified,California High,512,82,16,    24.6,      62,    12.1,,,
07,61804,0730218,Contra Costa,San Ramon Valley Unified,Venture (Altern.),143,4,2.8,NA,NA,NA,,,
07,61804,0734368,Contra Costa,San Ramon Valley Unified,Monte Vista High,481,127,26.4,    24.9,     110,    22.9,,,
07,61804,0736504,Contra Costa,San Ramon Valley Unified,San Ramon Valley High,482,112,23.2,    25.4,     100,    20.7,,,
07,61804,0736819,Contra Costa,San Ramon Valley Unified,Del Amigo High (Cont.),56,0,0,    0,       0,     0.0,,,
08,10082,0830018,Del Norte,Del Norte Co. Office of Education,Alternative/Opportunity,29,0,0,    0,       0,     0.0,,,
08,10082,0830059,Del Norte,Del Norte Co. Office of Education,Castle Rock Charter,20,0,0,    0,       0,     0.0,,,
08,10082,0840017,Del Norte,Del Norte Co. Office of Education,Juvenile Hall/Bar-O,14,0,0,    0,       0,     0.0,,,
08,61820,0833004,Del Norte,Del Norte County Unified,Del Norte High,284,12,4.2,    21.1,       7,     2.5,,,
08,61820,0836205,Del Norte,Del Norte County Unified,Sunset High (Cont.),50,0,0,    0,       0,     0.0,,,
09,10090,0930016,El Dorado,El Dorado Co. Office of Education,Golden Ridge (Juvenile Hall),2,0,0,    0,       0,     0.0,,,
09,10090,0930123,El Dorado,El Dorado Co. Office of Education,Charter Community and Extended Day,47,0,0,    0,       0,     0.0,,,
09,10090,0930131,El Dorado,El Dorado Co. Office of Education,Charter Rite of Passage,65,0,0,    0,       0,     0.0,,,
09,10090,0930180,El Dorado,El Dorado Co. Office of Education,Charter Transitional Reporting Educational Center,2,0,0,    0,       0,     0.0,,,
09,10090,6069470,El Dorado,El Dorado Co. Office of Education,Special Education,2,0,0,    0,       0,     0.0,,,
09,61853,0930081,El Dorado,El Dorado Union High,Oak Ridge High,373,59,15.8,    24.7,      47,    12.6,,,
09,61853,0930149,El Dorado,El Dorado Union High,Independent Learning Center (Alter.).,79,0,0,    0,       0,     0.0,,,
09,61853,0930164,El Dorado,El Dorado Union High,Union Mine High,368,61,16.6,    21.9,      38,    10.3,,,
09,61853,0930206,El Dorado,El Dorado Union High,EDUSHD Community Day School,3,0,0,    0,       0,     0.0,,,
09,61853,0932756,El Dorado,El Dorado Union High,El Dorado High,309,71,23,    23.6,      56,    18.1,,,
09,61853,0934554,El Dorado,El Dorado Union High,Independence Continuation,53,0,0,    0,       0,     0.0,,,
09,61853,0936302,El Dorado,El Dorado Union High,Ponderosa High,404,35,8.7,    23.3,      27,     6.7,,,
09,61903,0930040,El Dorado,Lake Tahoe Unified,Mt. Tallac High (Cont.),23,0,0,    0,       0,     0.0,,,
09,61903,0930107,El Dorado,Lake Tahoe Unified,Transitional Learning Ctr (Cont.),15,0,0,    0,       0,     0.0,,,
09,61903,0937805,El Dorado,Lake Tahoe Unified,South Tahoe High,360,68,18.9,    22.2,      37,    10.3,,,
09,61945,0930198,El Dorado,Pioneer Union Elementary,Learning With A Purpose,5,0,0,    0,       0,     0.0,,,
09,73783,0930073,El Dorado,Black Oak Mine Unified,Golden Sierra High,128,15,11.7,    25.1,      13,    10.2,,,
09,73783,0930099,El Dorado,Black Oak Mine Unified,Divide High (Cont.),17,0,0,    0,       0,     0.0,,,
09,73783,0930156,El Dorado,Black Oak Mine Unified,Black Oak Mine Community Day,2,0,0,    0,       0,     0.0,,,
10,10108,1030337,Fresno,Fresno Co. Office of Education,Fresno County Court School,92,0,0,    0,       0,     0.0,,,
10,10108,1030899,Fresno,Fresno Co. Office of Education,Fresno County Community,35,0,0,    0,       0,     0.0,,,
10,10108,1030923,Fresno,Fresno Co. Office of Education,Teilman Community Day School,10,0,0,    0,       0,     0.0,,,
10,62117,1030196,Fresno,Clovis Unified,Clovis West High,681,141,20.7,    23.5,     108,    15.9,,,
10,62117,1030469,Fresno,Clovis Unified,Enterprise Alternative (Ind. St.),39,0,0,    0,       0,     0.0,,,
10,62117,1030501,Fresno,Clovis Unified,Buchanan High,560,95,17,    23.3,      67,    12.0,,,
10,62117,1030634,Fresno,Clovis Unified,Excel High,6,0,0,    0,       0,     0.0,,,
10,62117,1030683,Fresno,Clovis Unified,Clovis East High,422,23,5.5,    18.8,       6,     1.4,,,
10,62117,1031004,Fresno,Clovis Unified,Gateway High (Cont.),90,1,1.1,NA,NA,NA,,,
10,62117,1031053,Fresno,Clovis Unified,Clovis High,609,61,10,    20.8,      30,     4.9,,,
10,62125,1030113,Fresno,Coalinga-Huron Joint Unified,Cambridge High,36,0,0,    0,       0,     0.0,,,
10,62125,1030477,Fresno,Coalinga-Huron Joint Unified,Chesnut High (Cont.),16,0,0,    0,       0,     0.0,,,
10,62125,1030873,Fresno,Coalinga-Huron Joint Unified,Community Day School,2,0,0,    0,       0,     0.0,,,
10,62125,1031376,Fresno,Coalinga-Huron Joint Unified,Coalinga High,245,6,2.4,NA,NA,NA,,,
10,62158,1031954,Fresno,Fowler Unified,Casa Blanca Continuation,5,0,0,    0,       0,     0.0,,,
10,62158,1032150,Fresno,Fowler Unified,Fowler High,147,12,8.2,    18.8,       4,     2.7,,,
10,62166,1030188,Fresno,Fresno Unified,New Horizon High School,28,0,0,    0,       0,     0.0,,,
10,62166,1030279,Fresno,Fresno Unified,Bullard High,614,138,22.5,    21.9,      82,    13.4,,,
10,62166,1030287,Fresno,Fresno Unified,Young (J.E.) Academic Center,238,0,0,    0,       0,     0.0,,,
10,62166,1030295,Fresno,Fresno Unified,Duncan (Erma) Polytechnical High,199,42,21.1,    17.2,       6,     3.0,,,
10,62166,1030584,Fresno,Fresno Unified,Cambridge Continuation High,51,0,0,    0,       0,     0.0,,,
10,62166,1030642,Fresno,Fresno Unified,School of Unlimited Learning,12,0,0,    0,       0,     0.0,,,
10,62166,1030667,Fresno,Fresno Unified,New Millenium Charter,19,0,0,    0,       0,     0.0,,,
10,62166,1030675,Fresno,Fresno Unified,Sunnyside High,533,143,26.8,    17.1,      27,     5.1,,,
10,62166,1030717,Fresno,Fresno Unified,Rata (Florence E.),14,0,0,    0,       0,     0.0,,,
10,62166,1030840,Fresno,Fresno Unified,Carter G. Woodson Public Charter,10,0,0,    0,       0,     0.0,,,
10,62166,1030907,Fresno,Fresno Unified,NorthStar High School Academy,1,0,0,    0,       0,     0.0,,,
10,62166,1031632,Fresno,Fresno Unified,Dewolf Continuation High,113,1,0.9,NA,NA,NA,,,
10,62166,1031897,Fresno,Fresno Unified,Edison High,422,88,20.9,    21.1,      47,    11.1,,,
10,62166,1032507,Fresno,Fresno Unified,Fresno High,500,42,8.4,    17.3,       8,     1.6,,,
10,62166,1032911,Fresno,Fresno Unified,Herbert Hoover High,422,26,6.2,    18.5,       8,     1.9,,,
10,62166,1034214,Fresno,Fresno Unified,McLane High,295,44,14.9,    16.3,       5,     1.7,,,
10,62166,1035831,Fresno,Fresno Unified,Roosevelt High,425,41,9.6,    16.2,       2,     0.5,,,
10,62166,6112619,Fresno,Fresno Unified,Fulton Special Education,2,0,0,    0,       0,     0.0,,,
10,62166,6118095,Fresno,Fresno Unified,Cornerstone Academy,1,0,0,    0,       0,     0.0,,,
10,62174,1030774,Fresno,West Fresno Elementary,W.E.B. DuBois Public Charter,70,0,0,    0,       0,     0.0,,,
10,62174,1030865,Fresno,West Fresno Elementary,One Step Up Charter Academy,23,0,0,    0,       0,     0.0,,,
10,62257,1033695,Fresno,Kingsburg Joint Union High,Kingsburg High,189,7,3.7,NA,NA,NA,,,
10,62257,1033729,Fresno,Kingsburg Joint Union High,Oasis Continuation High,2,0,0,    0,       0,     0.0,,,
10,62265,1030378,Fresno,Kings Canyon Joint Unified,Mountain View (Alter.),109,0,0,    0,       0,     0.0,,,
