"County
Number","District
Number","School
Number",County Name,District Name,School Name,Enrollment,"Number
tested","Percent
tested",Verbal,Critical reading,Math,Writing,Total,Total scores above 1500,Percent scores above 1500,Total scores above 1000,Percent scores above 1000,,,,
07,61648,0730259,Contra Costa,Antioch Unified,Prospects High (Alternative),273,       1,     0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,
07,10074,0107334,Contra Costa,Contra Costa County Office of Education,Central County Special Education,20,       0,     0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,
07,10074,0730242,Contra Costa,Contra Costa County Office of Education,Contra Costa County Court,70,       0,     0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,
07,10074,0730663,Contra Costa,Contra Costa County Office of Education,East Gate Community Day,4,       0,     0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,
07,10074,0107326,Contra Costa,Contra Costa County Office of Education,Far East County Special Education,108,       0,     0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,
07,10074,6077168,Contra Costa,Contra Costa County Office of Education,Floyd Marchus,12,       0,     0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,
07,10074,0730614,Contra Costa,Contra Costa County Office of Education,Golden Gate Community,22,       0,     0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,
07,61697,0737023,Contra Costa,John Swett Unified,Swett (John) High,139,      46,    33.1,   469.6,NA,   489.1,NA,   958.7,NA,NA,      16,    11.5,,,,
07,61697,0737619,Contra Costa,John Swett Unified,Willow High,18,       0,     0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,
07,61721,0730457,Contra Costa,Liberty Union High,Freedom High,411,     135,    32.8,   488.7,NA,   490.0,NA,   978.7,NA,NA,      58,    14.1,,,,
07,61721,0730572,Contra Costa,Liberty Union High,Independence High,271,       0,     0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,
07,61721,0733998,Contra Costa,Liberty Union High,La Paloma High (Continuation),76,       0,     0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,
07,61721,0733980,Contra Costa,Liberty Union High,Liberty High,461,     181,    39.3,   503.8,NA,   515.4,NA,  1019.2,NA,NA,     100,    21.7,,,,
07,61739,0730549,Contra Costa,Martinez Unified,Alhambra Senior High,275,     131,    47.6,   512.7,NA,   536.2,NA,  1048.9,NA,NA,      81,    29.5,,,,
07,61739,0730473,Contra Costa,Martinez Unified,Briones (Alternative),39,       0,     0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,
07,61739,0730440,Contra Costa,Martinez Unified,Vicente Martinez High (Cont.),45,       0,     0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,
07,61754,0731380,Contra Costa,Mt. Diablo Unified,Clayton Valley High,466,     252,    54.1,   505.1,NA,   512.9,NA,  1018.1,NA,NA,     135,    29.0,,,,
07,61754,0731646,Contra Costa,Mt. Diablo Unified,College Park High,427,     248,    58.1,   547.6,NA,   571.5,NA,  1119.1,NA,NA,     188,    44.0,,,,
07,61754,0731836,Contra Costa,Mt. Diablo Unified,Concord High,310,     174,    56.1,   494.0,NA,   496.4,NA,   990.4,NA,NA,      89,    28.7,,,,
07,61754,0730416,Contra Costa,Mt. Diablo Unified,Crossroads High (Continuation),6,       1,    16.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,
07,61754,0730655,Contra Costa,Mt. Diablo Unified,Diablo Day Community,3,       0,     0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,
07,61754,0730333,Contra Costa,Mt. Diablo Unified,Gateway High (Continuation),21,       0,     0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,
07,61754,6104350,Contra Costa,Mt. Diablo Unified,Home and Hospital,8,       0,     0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,
07,61754,0730317,Contra Costa,Mt. Diablo Unified,Horizons Alternative,87,      10,    11.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,
07,61754,0730168,Contra Costa,Mt. Diablo Unified,Loma Vista Adult Center,0,       1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,
07,61754,0734566,Contra Costa,Mt. Diablo Unified,Mt. Diablo High,280,      55,    19.6,   436.9,NA,   456.5,NA,   893.5,NA,NA,      11,     3.9,,,,
07,61754,0730044,Contra Costa,Mt. Diablo Unified,Northgate High,372,     275,    73.9,   575.9,NA,   610.6,NA,  1186.5,NA,NA,     237,    63.7,,,,
07,61754,0730341,Contra Costa,Mt. Diablo Unified,Nueva Vista High (Continuation),34,       0,     0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,
07,61754,0734764,Contra Costa,Mt. Diablo Unified,Olympic Continuation High,230,       1,     0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,
07,61754,0730358,Contra Costa,Mt. Diablo Unified,Prospect High (Continuation),23,       1,     4.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,
07,61754,0730424,Contra Costa,Mt. Diablo Unified,Summit High (Continuation),25,       0,     0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,
07,61754,0737809,Contra Costa,Mt. Diablo Unified,Ygnacio Valley High,323,     127,    39.3,   486.6,NA,   508.7,NA,   995.3,NA,NA,      68,    21.1,,,,
07,61788,0735407,Contra Costa,Pittsburg Unified,Pittsburg Senior High,478,     151,    31.6,   430.3,NA,   431.1,NA,   861.4,NA,NA,      34,     7.1,,,,
07,61788,0730184,Contra Costa,Pittsburg Unified,Riverside High (Continuation),164,       0,     0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,
07,61804,0730051,Contra Costa,San Ramon Valley Unified,California High,520,     374,    71.9,   554.8,NA,   589.1,NA,  1143.9,NA,NA,     294,    56.5,,,,
07,61804,0736819,Contra Costa,San Ramon Valley Unified,Del Amigo High (Continuation),58,       0,     0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,
